id,first_name,last_name,gender,birth_date,age,email,phone_number,address,city,postal_code,country,inn,passport_number,disease,chronic_condition,insurance_status,monthly_medical_expenses_usd,monthly_income_usd,monthly_expenses_usd,loan_amount_usd,loan_purpose,credit_score,education_level,employment_status,years_of_experience,family_size,number_of_children,marital_status,housing_status,industry
477,Thomas,Black,Male,1979-08-19,46,ggriffith@hotmail.com,(797)194-7606x2783,911 Tracey Canyon,Dalefurt,28617,Belarus,278132218041,983595665,None,Acid Reflux,Uninsured,1968.34,11365.95,9177.68,50066.75,Car,391,PhD,Self-employed,18,2,0,Married,Own,IT
478,Cheryl,Smith,Female,1956-05-22,69,dannycoleman@baxter.biz,487-367-4839,688 Sanchez Hills,West Crystal,68705,Western Sahara,860543248386,755385519,Diabetes,Acid Reflux,Uninsured,293.78,3063.95,1464.12,12080.75,Personal,790,PhD,Employed,3,6,5,Single,Rent,Education
479,Thomas,Rogers,Male,1997-08-06,28,wigginsemma@hotmail.com,349.495.8495x3267,8365 Boone Estates Suite 729,North Jessicastad,32137,Belarus,911194940464,119306396,None,None,Partially Insured,923.81,1846.37,1235.23,3702.39,Medical,788,Associate Degree,Self-employed,1,2,0,Married,Own,Hospitality
480,William,Alexander,Male,1960-04-11,65,robin13@yahoo.com,(039)449-4882x14015,14882 Schaefer Villages,Shannonhaven,01548,United Arab Emirates,642152659940,391498958,Diabetes,Arthritis,Partially Insured,1454.88,6869.7,4343.01,29099.05,Personal,707,Master's,Retired,12,3,2,Widowed,Living with Family,Education
481,Janice,Deleon,Female,1978-11-25,47,thomas14@gmail.com,001-703-129-2098x4902,735 Powell Skyway,South Chelsea,81733,Trinidad and Tobago,617239610819,531359944,Asthma,None,Partially Insured,962.57,7917.18,5241.36,33200.68,Personal,389,PhD,Retired,8,1,0,Widowed,Mortgage,Hospitality
482,Crystal,Roberts,Female,1957-06-25,68,richardjoseph@yahoo.com,+1-686-997-0933x83523,940 Emily Orchard Apt. 036,Reedtown,53806,Saint Pierre and Miquelon,800866791198,920979331,Asthma,Arthritis,Uninsured,555.58,19120.72,7906.49,78439.75,Car,615,Master's,Employed,32,4,2,Married,Rent,Education
483,Amanda,Boone,Female,1957-03-23,68,erinsullivan@watson.com,(500)349-5691,0294 Danielle Club Suite 522,Tiffanyfort,57794,Western Sahara,294601975320,488595455,Hypertension,None,Partially Insured,1445.2,20520.81,17102.17,5614.19,Home,783,Bachelor's,Unemployed,35,4,3,Widowed,Own,Transportation
484,Steven,Cuevas,Male,1953-03-18,72,joshuaglover@wilson.biz,589-610-9076x9424,7304 Thompson Via Apt. 785,South Matthew,85718,Western Sahara,433645712960,354450584,Asthma,Arthritis,Uninsured,560.99,14024.1,10168.52,44569.68,Personal,519,Bachelor's,Self-employed,27,4,2,Married,Rent,Transportation
485,Linda,Sanchez,Female,1972-08-13,53,zlopez@yahoo.com,(551)949-4202x85521,74694 Harris Via Apt. 314,New Sarah,06990,Belarus,653345091982,286608935,Asthma,Acid Reflux,Partially Insured,36.46,9355.95,3928.68,27561.98,Business,527,Bachelor's,Employed,15,2,1,Divorced,Mortgage,Construction
486,Alexander,Clark,Male,1945-08-27,80,sethhill@hotmail.com,882.597.0384,6467 Dennis Overpass Suite 756,Jimenezland,01288,United Arab Emirates,833113080347,770772026,Asthma,Seasonal Allergy,Partially Insured,678.38,10847.48,6726.84,38436.22,Education,566,Bachelor's,Employed,22,3,2,Widowed,Own,Retail
487,Steven,Harris,Male,1968-04-23,57,castrocarolyn@hotmail.com,152.639.2484,3838 Brianna Manors,Hallshire,94542,Saint Pierre and Miquelon,245746642467,522174868,Diabetes,None,Uninsured,1181.41,15788.02,10249.97,43848.68,Home,459,Master's,Unemployed,22,4,3,Divorced,Rent,Construction
488,Bethany,Harmon,Female,1944-05-20,81,dennis55@harris.net,(432)375-6744x358,858 Thompson Center Apt. 267,Rogersview,80707,Trinidad and Tobago,316856140738,556132809,None,Acid Reflux,Uninsured,233.19,17471.7,7525.97,52326.04,Medical,642,Master's,Self-employed,33,3,1,Married,Rent,Government
489,Tamara,Thompson,Female,1989-03-29,36,gomezlisa@flores.com,3031965732,091 Susan River Apt. 010,Nelsonfurt,02698,Saint Pierre and Miquelon,468390123433,950140024,Depression,Arthritis,Partially Insured,840.73,6059.79,2638.07,29581.59,Business,445,Bachelor's,Employed,13,1,0,Divorced,Rent,Education
490,Christopher,Rose,Male,1942-07-16,83,amber32@flores-walker.com,159-580-3466x580,13623 Cherry Gardens Suite 554,Kevinburgh,97480,United Arab Emirates,333178432084,243357565,Hypertension,Seasonal Allergy,Insured,432.82,7610.21,3218.07,35491.77,Business,632,Master's,Employed,9,5,4,Single,Rent,Construction
491,Stacey,Bailey,Female,1984-03-12,41,andersonchristina@gmail.com,(002)009-9169x541,3834 Matthew Crossing,Jamestown,64071,Saint Pierre and Miquelon,362267653828,748685886,Hypertension,None,Partially Insured,904.22,5502.09,4768.82,25471.44,Business,652,Bachelor's,Retired,7,3,1,Married,Own,IT
492,Stephen,Jackson,Male,1977-05-04,48,fergusonlaura@howard-wade.com,+1-335-634-0338x5560,965 Brent Circle,Wallsfurt,00879,Belarus,742440320399,700792782,Hypertension,Acid Reflux,Insured,1801.89,7581.77,4883.52,2225.89,Medical,753,Bachelor's,Unemployed,17,6,4,Married,Mortgage,Healthcare
493,Carolyn,George,Female,2000-10-23,25,amandareed@alvarado.info,+1-586-741-0095,5147 Villarreal Isle,Jamesview,81733,United Arab Emirates,218368121702,174165876,Depression,Arthritis,Partially Insured,360.61,5338.04,3319.05,1787.43,Personal,684,Master's,Self-employed,6,2,0,Married,Living with Family,IT
494,Mario,Baker,Male,1982-10-29,43,dawn46@hotmail.com,113-362-0909x46736,6936 Michele Village,Wolfshire,41687,United Arab Emirates,955049941780,285463817,Hypertension,Seasonal Allergy,Uninsured,1318.57,4588.72,2040.28,20493.09,Home,808,Bachelor's,Self-employed,7,4,3,Divorced,Living with Family,Finance
495,Donald,Burnett,Male,1950-01-24,75,grahamdavid@yahoo.com,1028932678,4464 Ronnie Drive,New Clintontown,38490,Western Sahara,266033429273,539734129,None,None,Uninsured,1285.2,34594.91,18202.77,171577.52,Education,686,PhD,Self-employed,53,1,0,Single,Mortgage,Hospitality
496,Melinda,Simmons,Female,2005-07-27,20,gsmith@pierce.info,+1-191-736-7199x47694,5733 Jessica Turnpike Apt. 733,Michelleburgh,81733,United Arab Emirates,852672440369,480531281,Diabetes,Arthritis,Partially Insured,1684.13,1252.62,1116.36,1588.97,Education,404,High School,Unemployed,1,1,0,Single,Mortgage,Transportation
497,Jennifer,Williams,Female,1974-06-25,51,jonesjoseph@mcdonald.biz,753-461-3721x119,5371 Megan Trail Apt. 132,Nancyfort,58337,United Arab Emirates,995582672083,945348385,Hypertension,Acid Reflux,Insured,432.08,11253.2,9654.85,13954.24,Business,506,Bachelor's,Student,20,1,0,Single,Rent,Retail
498,Donna,Nicholson,Female,1976-10-13,49,angelamurray@erickson.info,(907)762-5774x93120,9363 Denise Forks Suite 699,Adamborough,70961,Western Sahara,728213551447,246731519,Diabetes,Arthritis,Uninsured,15.35,5430.48,3511.61,16334.55,Education,667,Master's,Unemployed,6,2,1,Widowed,Rent,Government
499,Mary,Stone,Female,1952-07-13,73,hannah25@welch-bishop.com,001-954-488-1590,8809 Foster River,North Patricia,33390,Saint Pierre and Miquelon,236039403262,774636285,None,Seasonal Allergy,Uninsured,1893.07,34274.74,17530.33,155796.91,Education,741,PhD,Retired,54,4,3,Divorced,Own,IT
500,Timothy,Ramsey,Male,1955-10-15,70,tjensen@hotmail.com,(252)592-4771x9136,18379 John Plaza,Amberberg,40106,Belarus,381583831672,195550686,Hypertension,Seasonal Allergy,Uninsured,1640.09,14898.08,10745.34,28022.15,Education,838,Master's,Student,24,2,1,Single,Living with Family,None
501,Gary,Harrison,Male,1938-04-07,87,cpotts@potter-foster.org,001-095-246-7248x457,4136 Ricky Knolls,East Tanner,12982,Saint Pierre and Miquelon,299747549095,665154389,Hypertension,Seasonal Allergy,Insured,1699.23,3911.55,3357.75,5525.81,Home,389,PhD,Unemployed,4,4,3,Divorced,Living with Family,Finance
502,William,Shepherd,Male,1976-02-29,49,christineramsey@gmail.com,313-519-4276x2117,28094 Annette Coves,South Jessicaburgh,40244,Trinidad and Tobago,255475414414,236890810,Hypertension,Arthritis,Uninsured,772.27,17535.27,14747.0,13477.24,Education,427,Master's,Retired,26,1,0,Single,Own,Transportation
503,Richard,Young,Male,1951-02-10,74,aaronroberts@torres.com,385.458.7948,37528 Spence Square,Greenburgh,32137,Trinidad and Tobago,869416892667,908350246,Asthma,None,Uninsured,1044.39,14104.81,11400.69,27149.79,Personal,603,Master's,Self-employed,21,3,1,Married,Own,Construction
504,Andrea,Ferguson,Female,1938-12-30,87,kyle93@mullins.com,619-586-5209x232,85234 Fred Islands,Williamsview,17505,Western Sahara,548354134192,583671587,Diabetes,None,Partially Insured,585.82,28112.92,16115.63,97524.29,Personal,326,Bachelor's,Employed,55,1,0,Widowed,Living with Family,Government
505,Joseph,Patterson,Male,1986-09-21,39,amunoz@gmail.com,001-631-891-0063,4340 Hughes Lights,Sarahchester,47601,Saint Pierre and Miquelon,605580050743,506053002,Depression,None,Partially Insured,752.68,3695.69,2543.18,17115.47,Home,455,Master's,Student,3,1,0,Divorced,Rent,Transportation
506,Paul,Shaw,Male,1994-04-26,31,thomasglover@boyer.com,777.592.4846x70678,60775 Trevor Parkways,Port Marystad,92052,Belarus,365572430292,851926195,Depression,Arthritis,Insured,384.4,2974.44,2294.74,10365.59,Home,606,Master's,Retired,3,1,0,Single,Rent,Finance
507,Robin,Steele,Female,1983-11-16,42,cynthia66@pham-smith.net,(981)059-5429x95127,5392 Jones Overpass Apt. 947,Angelaville,38490,Trinidad and Tobago,297279674451,104273370,Diabetes,None,Insured,239.35,15558.83,9281.11,68623.72,Medical,695,PhD,Unemployed,23,4,2,Married,Living with Family,IT
508,James,Howe,Male,1974-07-09,51,hillrobert@coleman.com,8328203156,740 Neal Summit,Desireeshire,36355,Saint Pierre and Miquelon,955506402884,518927330,Hypertension,Arthritis,Uninsured,431.85,17421.35,14491.45,12005.2,Business,440,Master's,Unemployed,33,4,3,Single,Living with Family,Healthcare
509,Olivia,Small,Female,1950-03-03,75,pierceheather@gmail.com,625.665.3723x02482,5894 Thomas Prairie,East Rebeccabury,32757,Trinidad and Tobago,834764065007,392302359,Diabetes,Arthritis,Uninsured,1850.73,23915.48,21342.76,108224.68,Business,545,Master's,Employed,45,5,4,Single,Rent,Finance
510,Valerie,Johnson,Female,1971-11-10,54,aperez@hotmail.com,+1-112-940-5352x591,279 Noble Vista Suite 963,New Amanda,85992,Western Sahara,117853291034,687295025,Hypertension,Arthritis,Insured,12.51,16663.75,7078.66,32728.23,Business,587,PhD,Employed,27,6,5,Single,Living with Family,IT
511,Charles,Anderson,Male,1950-03-06,75,lopezjohn@rodriguez-petersen.com,276.307.5706,922 Mary Mission Apt. 768,South Shaunview,71691,Trinidad and Tobago,215740605415,612930677,None,None,Uninsured,410.23,24489.55,16679.45,11565.62,Car,393,Master's,Employed,35,2,1,Widowed,Own,Healthcare
512,Sean,Peters,Male,1954-01-31,71,davisjoyce@yahoo.com,+1-550-299-9142,7434 Seth Hills,North Andrew,99564,Belarus,643912816008,353546798,None,None,Uninsured,777.8,35719.81,30431.8,125766.64,Business,656,PhD,Retired,50,3,2,Divorced,Mortgage,Retail
513,Brian,Taylor,Male,2005-03-06,20,josebrown@smith-johnson.com,(788)594-4582x1927,146 Huffman Plains Suite 856,Andersonland,52634,Belarus,899432162190,492797845,Depression,Seasonal Allergy,Partially Insured,1849.01,886.99,447.61,1762.29,Business,433,High School,Student,0,1,0,Single,Own,Government
514,Elizabeth,Ramirez,Female,1983-05-16,42,lorilopez@huff.com,(749)913-1427x2771,0682 Heather Ports Apt. 364,Ethanbury,54561,Saint Pierre and Miquelon,519470654468,426450196,Asthma,Acid Reflux,Insured,1532.12,1448.85,708.36,6602.11,Car,626,Bachelor's,Retired,0,2,1,Divorced,Own,Government
515,Tony,Callahan,Male,1971-08-29,54,abigailwagner@hotmail.com,643-066-6183,70901 Christopher Groves Apt. 841,Williamsberg,18477,Belarus,732729670429,777828526,Asthma,Arthritis,Partially Insured,1820.47,10762.89,5290.75,17357.61,Car,821,PhD,Self-employed,19,3,2,Divorced,Own,Finance
516,Rhonda,Gray,Female,1988-08-30,37,melissa64@cruz.com,9433772993,499 Jeremy Forks Suite 762,Pamelahaven,16334,Western Sahara,731892384556,865758844,None,None,Insured,1981.11,7567.93,6382.39,14180.73,Education,557,PhD,Unemployed,11,2,1,Single,Mortgage,Construction
517,Victoria,Oliver,Female,1948-06-20,77,lisa61@kim-austin.com,151-985-2556x67013,88270 Rachel Neck Apt. 436,Crosbyland,80707,Saint Pierre and Miquelon,920835263171,652821781,Diabetes,None,Insured,1124.01,13958.91,6556.74,68705.51,Education,844,Bachelor's,Employed,34,5,4,Single,Own,Education
518,Alexander,Hutchinson,Male,1998-04-21,27,phillipsmicheal@hotmail.com,688.770.4947,297 Adams Cape Apt. 662,Jessicachester,74469,Trinidad and Tobago,399078866249,667216354,Hypertension,Seasonal Allergy,Insured,698.33,2170.12,1382.74,7595.19,Medical,850,Bachelor's,Retired,2,2,0,Married,Living with Family,Construction
519,Adam,Johnson,Male,1945-09-27,80,jacobnguyen@villa.com,001-399-419-1304,5106 Desiree Groves,Port Ianfurt,11973,Western Sahara,455481716294,172381972,None,None,Insured,999.2,27456.69,14146.39,33973.15,Business,455,PhD,Employed,50,4,2,Married,Rent,Construction
520,Patrick,Lutz,Male,1963-09-19,62,smithcraig@kim-warren.info,077.693.8666x404,8046 Jason Grove,Colemanshire,91608,Saint Pierre and Miquelon,426036082996,646974051,Depression,Acid Reflux,Partially Insured,1330.28,7375.93,6058.36,24418.38,Personal,736,Bachelor's,Student,17,3,2,Divorced,Own,None
521,Kayla,Diaz,Female,1963-10-18,62,johnsonrachael@yahoo.com,208-744-2240,4828 Zoe Falls Apt. 886,Tylerberg,17449,Belarus,809673295809,902970521,Hypertension,Seasonal Allergy,Uninsured,530.83,12593.12,8034.31,56516.99,Medical,747,Master's,Student,22,4,3,Widowed,Rent,None
522,Amber,Brown,Female,2003-02-11,22,craigmichele@gmail.com,866.653.0652x37576,337 Jay Trafficway,West Cory,00879,United Arab Emirates,910646492811,906678403,Asthma,Seasonal Allergy,Uninsured,1589.0,1123.96,971.18,522.53,Medical,499,High School,Student,1,1,0,Single,Own,Retail
523,Alison,Martinez,Female,1964-08-29,61,blevinspaul@hotmail.com,+1-364-948-3335x761,110 Michael Springs,Harrisfurt,98218,Western Sahara,927275232023,505852668,Diabetes,None,Insured,571.27,17720.65,11515.78,88021.27,Business,319,Master's,Unemployed,27,1,0,Divorced,Own,Government
524,John,Horton,Male,1970-03-31,55,martindiana@brown.biz,+1-486-740-1760x5427,941 Nelson Island Suite 073,South Jaclyn,22650,Trinidad and Tobago,347985807618,150974398,Hypertension,Arthritis,Insured,28.88,19391.37,8559.03,56234.19,Car,686,PhD,Self-employed,33,6,5,Single,Mortgage,Finance
525,Cory,Hayes,Male,1954-03-29,71,thomas54@yahoo.com,001-190-069-1685,22159 John Key,Mcculloughfort,18477,Western Sahara,244776008576,544594091,Diabetes,Seasonal Allergy,Uninsured,1372.97,11998.01,5704.12,12768.52,Car,488,Master's,Self-employed,22,6,5,Widowed,Own,Hospitality
526,Jackson,Aguirre,Male,1961-12-31,64,shawn52@phillips.org,878.617.2707,221 Daniel Tunnel,Ashleymouth,09227,Belarus,226849651851,499358999,None,None,Partially Insured,997.41,9691.93,6485.45,5135.18,Car,584,Master's,Employed,15,6,5,Divorced,Rent,Healthcare
527,Jamie,Ingram,Male,1990-07-28,35,jamescooper@gmail.com,978.168.0356,64752 Anita Streets Suite 544,Kristinland,22650,Western Sahara,355356902075,743249078,None,None,Partially Insured,270.47,3203.09,1798.14,14400.85,Medical,607,Master's,Unemployed,3,4,2,Married,Rent,IT
528,Alexandra,Branch,Female,1992-01-09,33,marvin55@mack.com,(432)208-6868x982,1210 Christopher Avenue,Mckenzieshire,97037,Trinidad and Tobago,937343052215,528799191,None,None,Insured,369.87,4535.39,2462.71,12067.16,Business,424,Master's,Retired,6,1,0,Divorced,Own,Education
529,Joyce,Peters,Female,1953-04-22,72,jasonarcher@campbell.biz,(962)535-4774x9537,325 Andre Courts Suite 361,Robertmouth,09980,United Arab Emirates,681648271870,962172649,Hypertension,Arthritis,Partially Insured,391.88,16977.39,13485.92,41024.82,Personal,577,Master's,Employed,28,6,5,Widowed,Own,Retail
530,Allen,Garcia,Male,1995-03-03,30,christopherbrewer@bell.com,001-270-727-1412,578 Wheeler Overpass,Schmidtbury,33057,Trinidad and Tobago,253166809995,802197241,Hypertension,Seasonal Allergy,Partially Insured,266.76,7408.43,5606.28,36133.18,Education,804,Master's,Student,11,1,0,Divorced,Own,Education
531,Glenn,Carlson,Male,1993-11-21,32,michaelthomas@hotmail.com,001-895-774-1758x88899,0869 Howell Ford Suite 102,East Jenniferchester,49475,Western Sahara,650461261593,986398546,Asthma,Arthritis,Partially Insured,1713.42,4640.3,2791.52,16651.02,Car,500,Bachelor's,Employed,8,2,1,Widowed,Living with Family,Education
532,Kimberly,Harrington,Female,1961-07-27,64,tarajohnson@hotmail.com,+1-020-103-5257,9423 Jack Stravenue,North Timothy,43122,United Arab Emirates,377691006695,438473646,Depression,Arthritis,Uninsured,813.88,24719.08,19511.01,112830.47,Medical,425,Bachelor's,Employed,46,6,5,Widowed,Own,Finance
533,Angela,Beck,Female,1964-06-27,61,fmoran@webb.biz,726.726.7341x58286,48200 Jackson Curve Apt. 504,South Denisestad,96571,United Arab Emirates,906168383783,956003378,Diabetes,Acid Reflux,Uninsured,1778.35,8056.22,7207.97,7285.46,Personal,686,Bachelor's,Student,14,7,5,Married,Own,Education
534,Anthony,Ortega,Male,1978-12-11,47,kingwendy@martinez.com,(608)789-1364x53834,948 Rose Lakes Suite 281,South Marcchester,72448,United Arab Emirates,449656855312,125332163,Hypertension,Seasonal Allergy,Insured,1075.58,10861.69,5848.46,10776.46,Personal,385,Bachelor's,Employed,19,3,2,Widowed,Living with Family,Transportation
535,Richard,Diaz,Male,1973-09-08,52,dcollier@hotmail.com,(515)259-1743,81460 Vance Station Suite 204,Mcguirefort,96571,United Arab Emirates,144599459130,339217691,None,Arthritis,Insured,1559.66,12480.77,8357.83,29914.87,Business,748,PhD,Employed,20,4,3,Widowed,Own,None
536,Eric,Robinson,Male,1939-03-28,86,rgonzalez@duncan.com,001-098-951-8687x9048,07136 West Port,West Rachelstad,03888,Belarus,167041429988,506852065,Depression,Acid Reflux,Uninsured,1170.17,26868.65,16245.55,3246.67,Home,304,Bachelor's,Student,54,5,3,Married,Own,Construction
537,Jeanette,Berry,Female,1957-12-23,68,abigailchristensen@yahoo.com,(732)606-5982x35146,409 Robert Circle,Rivasstad,35926,Saint Pierre and Miquelon,923710985807,134070354,Asthma,None,Partially Insured,286.76,19875.07,14829.89,99295.24,Medical,524,Bachelor's,Retired,45,2,0,Married,Own,Government
538,Megan,Holmes,Female,1972-06-22,53,ycrawford@mueller.com,748.370.7203,57985 Carter Mountain Apt. 402,Madisonshire,35921,Trinidad and Tobago,983710711941,954045944,None,None,Uninsured,802.3,8159.22,4816.25,13134.06,Medical,524,Bachelor's,Employed,17,7,5,Married,Rent,Healthcare
539,Mallory,Harvey,Female,1955-03-27,70,gmeyer@yahoo.com,+1-644-429-1055,8732 King Falls Apt. 560,Evansville,80646,United Arab Emirates,873802130245,746650196,Asthma,Arthritis,Partially Insured,40.67,7965.54,6132.65,35718.35,Business,834,PhD,Unemployed,10,1,0,Single,Mortgage,Finance
540,Elizabeth,Blevins,Female,1944-11-20,81,rrodriguez@hotmail.com,865-287-0855,00055 Alicia Park,Espinozastad,45471,Saint Pierre and Miquelon,974057831652,571561958,Hypertension,Acid Reflux,Uninsured,1147.92,23721.87,15476.0,118047.34,Home,797,Bachelor's,Unemployed,54,5,3,Married,Mortgage,Hospitality
541,Michelle,Watts,Female,1973-07-06,52,asmith@hotmail.com,+1-782-164-6122,8241 Lynch Harbors,Williamfurt,95673,Trinidad and Tobago,217058063791,223966996,Diabetes,Acid Reflux,Uninsured,1977.56,13548.56,5899.21,46959.14,Home,688,PhD,Employed,19,4,3,Widowed,Living with Family,Finance
542,Valerie,Webster,Female,2005-10-20,20,joseburch@gmail.com,001-559-271-2839x318,5629 Vaughn Plains Suite 093,West Keithmouth,33906,United Arab Emirates,692774735056,179260969,Hypertension,Seasonal Allergy,Insured,1534.32,1123.19,973.0,1232.17,Home,716,High School,Student,0,1,0,Single,Mortgage,None
543,Cameron,Paul,Male,1989-12-25,36,rebecca49@nguyen.com,937.305.0369x521,65856 Janice River,Marcusport,23392,Saint Pierre and Miquelon,769125700454,946527705,Diabetes,None,Partially Insured,829.03,10671.64,4508.33,42116.35,Business,417,Master's,Student,16,3,2,Single,Own,Government
544,Lisa,Hernandez,Female,1962-12-14,63,willie89@clements.info,018.856.7696,98304 Dustin Lock Suite 933,West Joseport,08666,Belarus,115630736390,736236920,Asthma,None,Uninsured,565.85,27726.53,11146.42,51721.04,Car,356,PhD,Self-employed,45,5,4,Divorced,Rent,Transportation
545,Joseph,Williams,Male,1966-11-25,59,rebecca38@novak.biz,853-240-5011,334 Diana Cliffs,Chapmanbury,64487,Saint Pierre and Miquelon,398790469644,342662240,Diabetes,Acid Reflux,Insured,1612.85,9716.94,5024.25,43511.05,Car,822,PhD,Retired,12,4,3,Single,Rent,Hospitality
546,Sarah,Lewis,Female,1975-10-05,50,mwoodard@ortega-cortez.com,001-428-942-9074x90178,026 Mcintyre Branch Suite 001,Monicaburgh,79996,Trinidad and Tobago,199026638280,655795880,None,Seasonal Allergy,Partially Insured,1235.18,6445.8,3010.49,13686.98,Personal,598,Bachelor's,Retired,14,5,4,Single,Mortgage,Construction
547,Alyssa,Holland,Female,1939-08-29,86,alvaradobenjamin@ramirez-bradley.org,001-202-818-6464x01128,239 Gonzalez Shoal Suite 985,South Shaunborough,59994,Belarus,598812528112,690234353,Hypertension,Arthritis,Partially Insured,553.95,7313.18,5971.22,4700.01,Medical,675,Master's,Unemployed,9,4,3,Single,Living with Family,Transportation
548,Holly,Harris,Female,1975-06-22,50,jmorgan@hotmail.com,(118)325-4797x407,29726 Walton Courts Apt. 267,North Jessicaton,16334,Belarus,460196027452,158785308,Diabetes,Seasonal Allergy,Partially Insured,1686.86,3833.59,2530.74,16031.43,Home,342,PhD,Student,3,5,3,Married,Mortgage,Education
549,Vanessa,Robinson,Female,1997-01-19,28,joseph96@johnson.org,047-067-3093,43467 Moyer Divide Suite 838,Lake Teresaview,31941,Saint Pierre and Miquelon,802767568179,318747700,Asthma,Seasonal Allergy,Uninsured,50.67,2469.2,1205.42,129.43,Personal,451,Associate Degree,Employed,5,1,0,Divorced,Living with Family,None
550,Cindy,Mendoza,Female,1954-10-12,71,housejennifer@bailey-mcclure.biz,001-331-155-9073,382 Bautista Estates,Lake Kimberlyside,11973,Saint Pierre and Miquelon,899979089802,731074848,Depression,Arthritis,Partially Insured,617.41,12266.68,9635.25,8119.32,Personal,757,Bachelor's,Retired,29,6,5,Widowed,Rent,Government
551,Angela,Hunt,Female,1943-09-28,82,ashley98@hotmail.com,001-434-744-9020x7916,39061 Lopez Radial Apt. 907,Wendyside,01548,Trinidad and Tobago,785381289846,456940360,Diabetes,None,Insured,253.93,34824.76,21041.1,144853.51,Business,621,Bachelor's,Retired,62,5,4,Divorced,Own,Hospitality
552,Lindsey,Bishop,Female,1967-04-19,58,kellymatthew@gmail.com,766.693.1560,53488 Rodriguez Hills,West Deborahville,04840,Trinidad and Tobago,538240516172,383025640,Asthma,Seasonal Allergy,Uninsured,1370.72,11373.41,8129.4,43820.02,Car,330,PhD,Retired,17,1,0,Single,Rent,None
553,Jon,Hughes,Male,1957-07-05,68,burtonelijah@gmail.com,(216)315-6454x8700,191 David Expressway Suite 341,Jenniferbury,01548,Western Sahara,220695716974,351973946,Depression,Acid Reflux,Uninsured,753.55,5938.34,5004.72,24273.35,Business,683,PhD,Employed,6,1,0,Widowed,Mortgage,Retail
554,Ashley,Lopez,Female,1972-03-26,53,joneschristopher@yahoo.com,7001540531,5216 Andrew Common Suite 015,Nicoleview,42239,Trinidad and Tobago,540614217415,448196439,Hypertension,Acid Reflux,Uninsured,1594.53,5279.79,3283.72,2599.28,Home,468,Master's,Self-employed,6,3,1,Married,Rent,Education
555,Jeremy,Gibson,Male,1992-11-06,33,travisshaun@gmail.com,761-801-7585x4868,6937 Ball Cliff Apt. 970,Cooperport,04840,United Arab Emirates,850351014060,241898861,Hypertension,None,Uninsured,960.61,7937.17,3498.48,1554.32,Medical,630,PhD,Student,10,2,1,Single,Living with Family,Construction
556,Martin,Walker,Male,1978-07-11,47,kingalexander@raymond.com,(748)127-0317x809,955 Martinez Harbor,Ashleyton,08102,United Arab Emirates,940463342677,774495101,Depression,None,Partially Insured,55.23,9538.3,6989.77,35432.63,Home,831,Bachelor's,Employed,20,5,4,Single,Rent,Retail
557,Michelle,Atkins,Female,1972-02-13,53,jeffreybeltran@johnson.com,471.158.6919,84912 Brown Rapid Suite 184,Port Laurenfort,54561,Saint Pierre and Miquelon,798019417753,718286271,Depression,Acid Reflux,Insured,1759.31,17339.74,14193.48,16087.48,Medical,677,Master's,Employed,35,2,1,Widowed,Mortgage,Government
558,Jason,Aguilar,Male,1990-10-21,35,codymosley@hill.biz,209.285.7307x055,71638 Hughes Plains,Nelsonland,23654,Trinidad and Tobago,875904534651,883254561,Diabetes,None,Insured,87.57,8949.54,6191.68,25581.23,Education,750,Bachelor's,Self-employed,14,1,0,Single,Own,Retail
559,Jennifer,Reeves,Female,1954-08-06,71,ndavis@fowler.com,540.872.2711x8496,3199 John Brook Apt. 218,Sotoview,86491,Western Sahara,308952618797,858826893,Depression,Acid Reflux,Partially Insured,1257.2,26868.34,11552.9,61524.07,Personal,805,Master's,Unemployed,39,2,0,Married,Mortgage,Healthcare
560,Kevin,Roberts,Male,1988-11-14,37,jenniferdavis@taylor.com,160-651-5769x151,4574 Nathan Course Suite 996,Tyroneport,94025,Belarus,760159208804,366814947,Hypertension,Seasonal Allergy,Insured,729.72,10882.85,5702.28,36180.41,Education,384,PhD,Unemployed,17,1,0,Single,Living with Family,Finance
561,Joshua,Lewis,Male,1995-09-29,30,joshuaadkins@gmail.com,(201)818-5396,876 Johnson Isle,West Ashley,96571,Belarus,999827079703,513909451,None,Acid Reflux,Uninsured,1282.91,6917.89,3116.84,28520.47,Education,456,PhD,Unemployed,8,1,0,Divorced,Own,Education
562,Katie,Lloyd,Female,1949-03-22,76,christopher26@chapman.info,(020)637-1450,13542 Weber Circles,East Phillip,38144,Saint Pierre and Miquelon,278794568135,825041951,None,None,Partially Insured,1314.49,35621.69,18606.27,51232.43,Medical,625,Master's,Self-employed,54,5,4,Widowed,Rent,Construction
563,Matthew,Tucker,Male,1996-06-25,29,nbrady@lynch-walsh.com,(084)233-4361x22429,348 Turner Ridges Suite 586,West Cassandrafurt,92052,Trinidad and Tobago,829138438305,911062062,None,Acid Reflux,Uninsured,387.21,4118.53,3128.98,2066.56,Medical,552,Associate Degree,Employed,7,1,0,Single,Rent,Construction
564,Christian,Tran,Male,2000-05-10,25,moorehenry@gmail.com,+1-135-281-9545x502,0049 Davenport Estate,South Barbarafort,16102,Saint Pierre and Miquelon,353117670583,931892170,None,None,Partially Insured,186.38,2457.6,1148.34,4707.71,Medical,537,Bachelor's,Self-employed,2,1,0,Widowed,Living with Family,Hospitality
